               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.086105,            0.015812,           0.0029263,             0.31971,              0.4375,             0.23428,            0.057575,            0.088251,            0.011833,            0.002293,            0.007723,            0.007723,            0.007723
                 117,            0.075324,           0.0091014,           0.0029886,             0.31971,              0.4375,             0.23428,            0.057575,            0.088251,            0.011833,            0.002293,           0.0077032,           0.0077032,           0.0077032
                 118,            0.083239,              0.0148,           0.0035373,             0.31971,              0.4375,             0.23428,            0.057575,            0.088251,            0.011833,            0.002293,           0.0076834,           0.0076834,           0.0076834
                 119,            0.093608,            0.016099,           0.0031297,             0.30821,             0.43171,             0.22011,            0.051785,            0.097387,            0.011527,           0.0023593,           0.0076636,           0.0076636,           0.0076636
                 120,             0.09157,            0.014912,           0.0030783,             0.30821,             0.43171,             0.22011,            0.051785,            0.097387,            0.011527,           0.0023593,           0.0076438,           0.0076438,           0.0076438
                 121,            0.092736,             0.01173,           0.0032859,             0.30821,             0.43171,             0.22011,            0.051785,            0.097387,            0.011527,           0.0023593,            0.007624,            0.007624,            0.007624
                 122,            0.090531,            0.014077,           0.0035508,             0.30821,             0.43171,             0.22011,            0.051785,            0.097387,            0.011527,           0.0023593,           0.0076042,           0.0076042,           0.0076042
                 123,             0.09098,            0.011709,           0.0036328,             0.32752,             0.53125,             0.25493,            0.054849,            0.083825,            0.012059,           0.0025814,           0.0075844,           0.0075844,           0.0075844
                 124,            0.084009,            0.016207,           0.0034509,             0.32752,             0.53125,             0.25493,            0.054849,            0.083825,            0.012059,           0.0025814,           0.0075646,           0.0075646,           0.0075646
                 125,            0.082963,             0.01334,           0.0036267,             0.32752,             0.53125,             0.25493,            0.054849,            0.083825,            0.012059,           0.0025814,           0.0075448,           0.0075448,           0.0075448
